<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALRS,60,20170123,110000,99.7800000,99.9800000,98.8000000,99.8900000,597800
ALRS,60,20170123,120000,99.8900000,99.9500000,99.2800000,99.6800000,923800
ALRS,60,20170123,130000,99.7300000,101.1800000,99.7300000,100.8700000,1410900
ALRS,60,20170123,140000,100.9800000,101.2000000,100.2300000,100.5600000,785500
ALRS,60,20170123,150000,100.6000000,101.0700000,99.9600000,101.0200000,878100
ALRS,60,20170123,160000,101.0200000,101.5000000,100.9700000,101.2800000,935100
ALRS,60,20170123,170000,101.2500000,101.4100000,100.9400000,101.2500000,544300
ALRS,60,20170123,180000,101.3000000,101.3500000,100.9900000,101.2200000,1475200
ALRS,60,20170123,190000,101.2800000,102.1200000,100.9200000,102.0000000,4442400
ALRS,60,20170124,110000,101.9900000,102.8100000,101.5500000,102.6800000,1955900
ALRS,60,20170124,120000,102.6800000,106.7000000,102.5400000,106.1200000,13010500
ALRS,60,20170124,130000,106.1100000,106.9000000,106.0900000,106.6800000,7386000
ALRS,60,20170124,140000,106.6800000,106.8000000,105.7100000,106.2500000,3999300
ALRS,60,20170124,150000,106.2400000,106.3300000,105.8600000,105.9500000,941700
ALRS,60,20170124,160000,105.9500000,106.1000000,105.7900000,105.9100000,1573200
ALRS,60,20170124,170000,105.9500000,105.9600000,104.8000000,105.4400000,2999300
ALRS,60,20170124,180000,105.4800000,105.5000000,104.8000000,105.0200000,1613600
ALRS,60,20170124,190000,105.0200000,105.2500000,104.8000000,104.8100000,4008200
ALRS,60,20170125,110000,105.1200000,106.8000000,105.0300000,106.2500000,2537200
ALRS,60,20170125,120000,106.3600000,106.3600000,105.5100000,105.8600000,967800
ALRS,60,20170125,130000,105.9100000,106.0000000,105.3600000,105.4100000,1862700
ALRS,60,20170125,140000,105.4100000,105.4500000,104.8200000,105.2500000,1194900
ALRS,60,20170125,150000,105.2100000,105.2800000,104.5100000,105.0000000,1050800
ALRS,60,20170125,160000,104.9900000,105.0600000,104.6000000,104.6500000,640300
ALRS,60,20170125,170000,104.6500000,104.9200000,104.6000000,104.6500000,815800
ALRS,60,20170125,180000,104.6500000,104.7900000,103.8100000,104.0100000,1581000
ALRS,60,20170125,190000,104.0600000,104.2100000,103.7000000,103.7000000,1532200
ALRS,60,20170126,110000,104.4900000,105.8400000,104.0000000,104.8900000,1615800
ALRS,60,20170126,120000,104.9400000,105.0700000,103.8000000,104.6600000,1238500
