<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALRS,30,20190410,103000,94.1300000,94.6500000,94.0500000,94.2000000,568050
ALRS,30,20190410,110000,94.2000000,94.4800000,94.1000000,94.3500000,226050
ALRS,30,20190410,113000,94.3600000,94.4700000,94.3200000,94.4000000,131080
ALRS,30,20190410,120000,94.4000000,94.6100000,94.3000000,94.5400000,496310
ALRS,30,20190410,123000,94.4800000,94.5900000,94.3300000,94.4600000,448540
ALRS,30,20190410,130000,94.4700000,94.8600000,94.4500000,94.7700000,453780
ALRS,30,20190410,133000,94.7700000,94.9000000,94.3400000,94.3600000,1754090
ALRS,30,20190410,140000,94.3600000,94.5000000,94.2500000,94.4800000,368950
ALRS,30,20190410,143000,94.4400000,94.5000000,94.3000000,94.4000000,241670
ALRS,30,20190410,150000,94.3800000,94.5000000,94.2700000,94.3600000,472770
ALRS,30,20190410,153000,94.3500000,94.3600000,93.9100000,94.0300000,418110
ALRS,30,20190410,160000,94.0400000,94.1700000,93.9700000,94.0400000,213250
ALRS,30,20190410,163000,94.0400000,94.2200000,93.8900000,94.2200000,1374000
ALRS,30,20190410,170000,94.2200000,94.4400000,93.9100000,94.1300000,425630
ALRS,30,20190410,173000,94.1600000,94.2400000,94.0600000,94.1900000,337080
ALRS,30,20190410,180000,94.1900000,94.3700000,94.1600000,94.2500000,268410
ALRS,30,20190410,183000,94.2600000,94.3900000,94.1800000,94.3700000,417090
ALRS,30,20190410,190000,94.3100000,94.4000000,94.2500000,94.4000000,478850
ALRS,30,20190411,103000,94.4300000,94.5900000,94.0100000,94.2800000,293340
ALRS,30,20190411,110000,94.2500000,94.2800000,94.1100000,94.1200000,153810
ALRS,30,20190411,113000,94.1200000,94.3500000,94.1100000,94.3100000,87130
ALRS,30,20190411,120000,94.2900000,94.3500000,94.0400000,94.1800000,261760
ALRS,30,20190411,123000,94.1700000,94.1800000,94.0700000,94.1200000,167230
ALRS,30,20190411,130000,94.1100000,94.1600000,94.0500000,94.1100000,200180
ALRS,30,20190411,133000,94.1100000,94.1500000,93.9500000,94.0300000,192210
ALRS,30,20190411,140000,94.0100000,94.1000000,93.9500000,94.0200000,160340
ALRS,30,20190411,143000,94.0300000,94.0900000,93.9500000,94.0500000,121700
ALRS,30,20190411,150000,94.0300000,94.1200000,93.9700000,94.1100000,61780
ALRS,30,20190411,153000,94.1100000,94.1200000,93.9700000,94.0000000,257300
ALRS,30,20190411,160000,94.0100000,94.3500000,93.9900000,94.2700000,356070
ALRS,30,20190411,163000,94.2600000,94.4200000,94.0100000,94.1400000,253550
ALRS,30,20190411,170000,94.1500000,94.2800000,94.0800000,94.1300000,530690
ALRS,30,20190411,173000,94.1600000,94.3600000,94.1000000,94.1000000,421010
ALRS,30,20190411,180000,94.1400000,94.2900000,94.0800000,94.1800000,239020
ALRS,30,20190411,183000,94.1900000,94.3300000,94.0600000,94.1500000,286640
ALRS,30,20190411,190000,94.1400000,94.2800000,94.0700000,94.1000000,355470
ALRS,30,20190412,103000,94.2000000,94.4000000,93.9300000,94.0700000,200610
ALRS,30,20190412,110000,94.0500000,94.3200000,94.0200000,94.2800000,173790
ALRS,30,20190412,113000,94.2600000,94.5500000,94.1500000,94.3100000,400300
ALRS,30,20190412,120000,94.3200000,94.4300000,94.1700000,94.3000000,107470
ALRS,30,20190412,123000,94.2700000,94.3900000,94.1800000,94.2300000,77790
ALRS,30,20190412,130000,94.2300000,94.3700000,94.1900000,94.2300000,97320
ALRS,30,20190412,133000,94.2400000,94.4700000,94.2400000,94.3500000,228980
ALRS,30,20190412,140000,94.3100000,94.4200000,94.2700000,94.3800000,112320
ALRS,30,20190412,143000,94.3800000,94.4500000,94.3000000,94.4000000,136030
ALRS,30,20190412,150000,94.4000000,94.7000000,94.3700000,94.5700000,417220
ALRS,30,20190412,153000,94.6000000,94.8000000,94.4800000,94.6700000,321610
ALRS,30,20190412,160000,94.6200000,94.6200000,94.3900000,94.5000000,91300
ALRS,30,20190412,163000,94.5000000,94.5000000,94.3900000,94.3900000,98980
ALRS,30,20190412,170000,94.3800000,94.5200000,94.2300000,94.4300000,230400
ALRS,30,20190412,173000,94.4100000,94.5000000,94.2400000,94.2700000,286450
ALRS,30,20190412,180000,94.2900000,94.4400000,94.2300000,94.3500000,472460
ALRS,30,20190412,183000,94.3300000,94.4700000,94.3000000,94.3600000,317110
ALRS,30,20190412,190000,94.3600000,94.6400000,94.3600000,94.6000000,768200
ALRS,30,20190415,103000,94.6700000,94.7000000,94.2600000,94.3200000,209410
ALRS,30,20190415,110000,94.3200000,94.5000000,94.3200000,94.4700000,72870
ALRS,30,20190415,113000,94.4700000,94.4800000,94.3800000,94.4000000,90200
ALRS,30,20190415,120000,94.4000000,94.5300000,94.1200000,94.2400000,357140
ALRS,30,20190415,123000,94.2100000,94.2300000,94.0200000,94.0500000,157610
ALRS,30,20190415,130000,94.0900000,94.1300000,94.0200000,94.0800000,62960
ALRS,30,20190415,133000,94.0600000,94.3000000,94.0400000,94.2100000,203350
ALRS,30,20190415,140000,94.2400000,94.2700000,94.0800000,94.2600000,56930
ALRS,30,20190415,143000,94.2600000,94.2800000,94.0600000,94.0600000,90810
ALRS,30,20190415,150000,94.0600000,94.2400000,94.0500000,94.1400000,162560
ALRS,30,20190415,153000,94.1700000,94.1700000,94.0100000,94.1300000,482740
ALRS,30,20190415,160000,94.1300000,94.2000000,94.0500000,94.0500000,116380
ALRS,30,20190415,163000,94.0500000,94.1100000,94.0200000,94.0400000,265580
ALRS,30,20190415,170000,94.0400000,94.1500000,93.6000000,93.8700000,798590
ALRS,30,20190415,173000,93.8600000,94.0000000,93.7500000,93.9400000,249060
ALRS,30,20190415,180000,93.9400000,93.9500000,93.6000000,93.9300000,420790
ALRS,30,20190415,183000,93.9300000,94.0000000,93.8500000,93.9300000,158930
ALRS,30,20190415,190000,93.9700000,94.3000000,93.9200000,94.3000000,544010
ALRS,30,20190416,103000,94.2000000,94.3500000,94.0400000,94.2400000,158490
ALRS,30,20190416,110000,94.2600000,94.5000000,94.1400000,94.3000000,229500
ALRS,30,20190416,113000,94.3000000,94.4500000,94.1600000,94.3100000,184960
ALRS,30,20190416,120000,94.3400000,94.4800000,94.2800000,94.3700000,110110
ALRS,30,20190416,123000,94.3300000,94.4000000,94.2400000,94.3900000,94830
ALRS,30,20190416,130000,94.3800000,94.5000000,94.3500000,94.4300000,375560
ALRS,30,20190416,133000,94.4600000,94.5500000,94.3500000,94.5300000,157510
ALRS,30,20190416,140000,94.5000000,94.6000000,94.5000000,94.5500000,130580
ALRS,30,20190416,143000,94.5300000,94.6300000,94.5200000,94.6300000,65290
ALRS,30,20190416,150000,94.6000000,94.6400000,94.5600000,94.6000000,142180
ALRS,30,20190416,153000,94.6000000,95.2500000,94.6000000,95.0100000,672000
ALRS,30,20190416,160000,95.0500000,95.1900000,95.0000000,95.1400000,145310
ALRS,30,20190416,163000,95.1400000,95.2000000,95.0400000,95.1100000,232030
ALRS,30,20190416,170000,95.1100000,95.5000000,95.0800000,95.3100000,1266800
ALRS,30,20190416,173000,95.3600000,95.7900000,95.3100000,95.5900000,1143360
ALRS,30,20190416,180000,95.6000000,95.7300000,95.4400000,95.5000000,1561010
ALRS,30,20190416,183000,95.5000000,95.5500000,95.4300000,95.5000000,843440
